Symbol,Total_Records,Date_Range_Start,Date_Range_End,Avg_Price,Min_Price,Max_Price,Price_Volatility,Avg_Change_Pct,Max_Gain,Max_Loss
M&M,2465,2015-06-08 00:00:00+05:30,2025-06-02 00:00:00+05:30,1032.7024416414768,254.917236328125,3211.10009765625,718.6056625303759,0.08806459192170214,16.850516415453303,-9.295619904927143
MARUTI,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,7522.316638114292,2960.829833984375,13495.599609375,2426.6903105798206,0.06711046041249775,13.514895295766689,-16.909162741261248
MOTHERSON,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,77.78510990978157,21.20446395874023,214.28468322753903,37.193249935945786,0.08315110609647508,28.550281746334523,-22.231083289706515
NAUKRI,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,628.2261597911033,127.86986541748048,1805.0999755859375,434.8087854040059,0.12184825280561944,17.514260582215364,-13.340334489928557
NESTLEIND,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1410.180239241972,436.033203125,2737.96630859375,679.2031115021634,0.07521048397498623,12.803998333542326,-8.489263417218682
NTPC,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,142.08471828036838,57.8264045715332,437.0782775878906,94.75223138641003,0.07369431504563914,9.136481427359602,-15.454304106466996
ONGC,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,128.9291159636783,42.3658332824707,324.53717041015625,58.55120943837609,0.04950987406517094,18.50940797865402,-16.82507010061753
PFC,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,126.23104281553097,33.83407211303711,550.2456665039062,135.22762705054961,0.10953246260022823,13.329658865798732,-23.080389427161403
PIDILITIND,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1656.9538455044267,497.6334533691406,3363.449951171875,862.7652463919407,0.08506625523603802,8.821596312441155,-15.34082501953783
PNB,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,81.08018818814293,25.396060943603516,203.9322967529297,40.72324892064044,0.030120668153891823,46.20119038160928,-15.8029189224642
POWERGRID,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,124.16072905634054,45.5446891784668,356.1138610839844,79.41330036436032,0.0811122100947189,8.919359772572925,-12.350056927444305
RECLTD,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,133.42836968761483,28.307044982910156,625.2566528320312,150.9680734057402,0.11554100793276101,12.913804559990034,-25.194375577046323
RELIANCE,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,785.7030765876863,185.08978271484375,1600.9000244140625,418.93969399985457,0.09488917455979204,14.718043064835392,-13.153885029753631
SBILIFE,1893,2017-10-03 00:00:00+05:30,2025-06-03 00:00:00+05:30,1048.9279660538775,504.4538269042969,1924.9862060546875,335.6818632451824,0.06497995611618593,13.096973257996906,-14.885553276513312
SBIN,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,384.8470796212276,137.01339721679688,887.8229370117188,195.68002343213806,0.07313730608126473,27.68716995025309,-14.404020984056816
SHREECEM,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,20620.772415000254,9177.2783203125,31615.0,5386.49040299445,0.057887920340895134,8.136025993477512,-10.285047488672944
SHRIRAMFIN,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,269.73722895663246,83.98461151123047,717.3330078125,135.85878606628768,0.09779065660156615,17.732103396616253,-22.1811017677169
SIEMENS,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,2282.1140047368826,830.5843505859375,7969.84619140625,1721.9286612902097,0.0637991469538194,11.174638752513651,-42.93091714125176
SUNPHARMA,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,804.2143854418133,308.59820556640625,1937.026123046875,405.049979453107,0.04779790982875784,11.0121059869439,-15.05800532528905
SWIGGY,136,2024-11-13 00:00:00+05:30,2025-06-03 00:00:00+05:30,405.53235289629765,304.0,597.4500122070312,86.02614585183841,-0.14983153938486654,13.14145138389186,-8.685001906286804
TATACONSUM,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,502.7993372710662,91.82952880859376,1243.6943359375,345.87852496977996,0.109505113330382,11.282884089098657,-14.269494591441184
TATAMOTORS,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,423.83491794248954,64.8968505859375,1161.8499755859375,232.11675635868963,0.05443436009202743,20.446706898870236,-17.582724389184058
TATAPOWER,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,150.58889913133558,25.557357788085938,485.5,124.32423893383742,0.10133969060309084,15.588496444190255,-12.473983909358942
TATASTEEL,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,54.28865015903142,7.101592063903809,179.94000244140625,50.971573088315836,0.14972509368002307,100.5783412463648,-13.12962141121196
TCS,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,2387.8833290217663,927.6403198242188,4531.86767578125,1069.5997723903645,0.056453596542085135,9.845083448775254,-9.410359728901827
TECHM,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,815.2101049987842,300.0797119140625,1796.4000244140625,406.95455816148814,0.06918849282053884,10.046867802410068,-15.46801541473023
TITAN,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1617.6033161593373,290.9011535644531,3854.0390625,1110.4158819002103,0.11321482618572215,18.787417842376588,-12.255984994442796
TORNTPHARM,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1308.7583587720737,534.057861328125,3529.70947265625,803.9112105300916,0.08696039685605743,13.353404212914125,-15.105974321914648
TRENT,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1357.18124014057,109.08087921142578,8234.9501953125,1817.498295242251,0.18463295694480056,18.86325965638928,-19.99999878453449
TVSMOTOR,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,855.0461447685594,203.29356384277344,2937.518798828125,705.9568571799163,0.12508735625306866,14.038491455913707,-12.756706430658936
ULTRACEMCO,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,5750.932028022512,2528.398193359375,12237.0,2658.810517671864,0.0711719011206293,12.88040316895692,-14.52215832383256
UNITDSPR,248,2024-05-30 00:00:00+05:30,2025-06-03 00:00:00+05:30,1445.2548522949219,1151.66650390625,1683.8414306640625,108.36960977351491,0.13783416334054235,7.848834657599206,-5.368256520550293
VBL,2117,2016-11-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,187.30388487472138,19.269580841064453,672.84619140625,197.4579221860505,0.16311201246560594,12.069965271822015,-9.15070678746961
VEDL,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,151.36859749084743,21.081771850585938,512.6234130859375,120.10857832335991,0.1202452302921993,18.577068894482572,-20.43495645837302
WIPRO,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,167.96327225869976,78.6717758178711,352.1012268066406,72.980518619885,0.05021842693808025,16.777797516525126,-9.22469877263569
ZYDUSLIFE,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,472.385310492473,204.0771942138672,1300.9000244140625,231.01562618011312,0.06276784952138549,19.838203401411505,-14.756030847561156
